title,publish date,abstract
"Occurrence and fate of emerging trace organic chemicals in wastewater plants in Chennai, India",Apr 2016,"The presence of pharmaceuticals, hormones, pesticides and industrial contaminants collectively termed as trace organic compounds (TOrCs) in wastewater has been well-documented in USA, Europe, China and other regions. However, data from India, the second most populous country in the world is severely lacking. This study investigated the occurrence and concentrations of twenty-two indicator TOrCs at three wastewater treatment plants (WWTPs) in South India serving diverse communities across three sampling campaigns. Samples were collected after each WWTP treatment unit and removal efficiencies for TOrCs were determined. Eleven TOrCs were detected in every sample from every location at all sites, while only five TOrCs were detected consistently in effluent samples. Caffeine was present at greatest concentration in the influent of all three plants with average concentrations ranging between 56 and 65μg/L. In contrast, the x-ray contrast media pharmaceutical, iohexol, was the highest detected compound on average in the effluent at all three WWTPs (2.1-8.7μg/L). TOrCs were not completely removed in the WWTPs with removal efficiencies being compound specific and most of the attenuation being attributed to the biological treatment processes. Caffeine and triclocarban were well removed (>80%), while other compounds were poorly removed (acesulfame, sucralose, iohexol) or maybe even formed (carbamazepine) within the WWTPs. The effluent composition of the 22 TOrCs were similar within the three WWTPs but quite different to those seen in the US, indicating the importance of region-specific monitoring. Diurnal trends indicated that variability is compound specific but trended within certain classes of compounds (artificial sweeteners, and pharmaceuticals). The data collected on TOrCs from this study can be used as a baseline to identify potential remediation and regulatory strategies in this understudied region of India."
Understanding acoustic cavitation for sonolytic degradation of p-cresol as a model contaminant,Mar 2016,"Many modern techniques exist for the degradation of organic pollutants in water. Numerous treatment processes which utilize the formation of hydroxyl radicals for oxidation of pollutants have been studied thoroughly. In this study, a three pronged approach has been used to characterize and understand the effect of two distinct acoustic frequencies (37 kHz and 1 MHz) on cavitation behavior. Correlation of this behavior with sonolysis of a target phenol pollutant is described. Hydroxyl radical capture, hydrophone, and microelectrode studies in this work show that megasonic frequencies are more effective for generation of hydroxyl radicals and stable cavitation events than ultrasonic frequencies. UV absorption and fluorescence measurements confirm that the combination of ultrasonic sonolysis with a Fenton reagent achieved complete degradation of p-cresol at 50 mg/L in about 30 min. Cost estimates have been made for different sonication processes and compared with traditional advanced oxidation processes."
mmc1,Feb 2016,no abstract provided
"Organic Contaminant Abatement in Reclaimed Water by UV/H 2 O 2 and a Combined Process consisting of O 3 /H 2 O 2 followed by UV/H 2 O 2 : Prediction of abatement efficiency, energy consumption, and by-product formation",Feb 2016,"UV/H2O2 processes can be applied to improve the quality of effluents from municipal wastewater treatment plants by attenuating trace organic contaminants (micropollutants). This study presents a kinetic model based on UV photolysis parameters, including UV absorption rate and quantum yield, and hydroxyl radical (●OH) oxidation parameters, including second-order rate constants for ●OH reactions and steady-state ●OH concentrations, that can be used to predict micropollutant abatement in wastewater. The UV/H2O2 kinetic model successfully predicted the abatement efficiencies of 16 target micropollutants in bench-scale UV and UV/H2O2 experiments in 10 secondary wastewater effluents. The model was then used to calculate the electric energies required to achieve specific levels of micropollutant abatement in several advanced wastewater treatment scenarios using various combinations of ozone, UV, and H2O2. UV/H2O2 is more energy-intensive than ozonation for abatement of most micropollutants. Nevertheless, UV/H2O2 is not limited by the formation of N-nitrosodimethylamine (NDMA) and bromate whereas ozonation may produce significant concentrations of these oxidation by-products, as observed in some of the tested wastewater effluents. The combined process of O3/H2O2 followed by UV/H2O2, which may be warranted in some potable reuse applications, can achieve superior micropollutant abatement with reduced energy consumption compared to UV/H2O2 and reduced oxidation by-product formation (i.e., NDMA and/or bromate) compared to conventional ozonation."
Balancing the Budget: Accounting for Glucocorticoid Bioactivity and Fate during Water Treatment,Feb 2016,"Numerous studies have identified the presence and bioactivity of glucocorticoid receptor (GR) active substances in water; however, the identification and activity-balance of GR compounds remained elusive. This study determined the occurrence and attenuation of GR bioactivity and closed the balance by determining those substances responsible. The observed in vitro GR activity ranged from 39-155 ng dexamethasone-equivalent/L (ng Dex-EQ/L) in the secondary effluents of four wastewater treatment plants. Monochromatic ultraviolet light of 80 mJ/cm2 disinfection dose was efficient for GR activity photolysis, whereas chlorination could not appreciably attenuate the observed GR activity. Ozonation was effective only at relatively high dose (ozone:TOC 1:1). Microfiltration membranes were not efficient for GR activity attenuation; however, reverse osmosis removed GR activity to levels below the limits of detection. A high sensitive liquid chromatography with tandem mass spectrometry (LC-MS/MS) method was then developed to screen twenty-seven GR agonists. Twelve were identified and quantified in effluents at summed concentrations of 9.6-21.2 ng/L. The summed Dex-EQ of individual compounds based on their measured concentrations was in excellent agreement with the Dex-EQ obtained from bioassay, which demonstrated that the detected glucocorticoids can entirely explain the observed GR bioactivity. Four synthetic glucocorticoids (triamcinolone acetonide, fluocinolone acetonide, clobetasol propionate, and fluticasone propionate) predominantly accounted for GR activity. These data represent the first known publication where a complete activity balance has been determined for GR agonists in aquatic environment."
N-nitrosodimethylamine (NDMA) formation during ozonation of wastewater and water treatment polymers,Feb 2016,"N-Nitrosodimethylamine (NDMA) formation by ozonation was investigated in the effluents of four different wastewater treatment plants destined for alternative reuse. Very high levels of NDMA formation were observed in wastewaters from treatment plants non operating with biological nitrogen removal. Selected experiments showed that hydroxyl radical did not have a significant role in NDMA formation during ozonation of wastewater. Furthermore, ozonation of three different polymers used for water treatment, including polyDADMAC, anionic polyacrylamide, and cationic polyacrylamide, spiked in wastewater did not increase the NDMA formation. Effluent organic matter (EfOM) likely reduced the availability of ozone in water able to react with polymers and quenched the produced $OH radicals which limited polymer degradation and subsequent NDMA production. Excellent correlations were observed between NDMA formation, UV absorbance at 254 nm, and total fluorescence reduction. These data provide evidence that UV and fluorescence surrogates could be used for monitoring and/or controlling NDMA formation during ozonation."
A novel sequential process for remediating rare-earth wastewater,Feb 2016,no abstract provided
Metformin Scavenges Methylglyoxal To Form a Novel Imidazolinone Metabolite in Humans,Jan 2016,"Methylglyoxal (MG) is a highly reactive dicarbonyl compound involved in the formation of advanced glycation endproducts. Levels of MG are elevated in patients with type-2 diabetes mellitus (T2DM), and advanced glycation endproducts (AGEs) have been implicated in the progression of diabetic complications. The anti-hyperglycemic drug metformin (MF) has been suggested to be a scavenger of MG. The present work examined and characterized unequivocally the resulting scavenged product from the metformin-MG reaction. The primary product was characterized by 1H, 13C, 2D-HSQC and HMBC NMR, and tandem mass spectrometry. X-ray diffraction (XRD) analysis determined the structure of the metformin and MG-derived imidazolinone compound to be (E)-1,1-dimethyl-2-(5-methyl-4-oxo-4,5-dihydro-1H-imidazol-2-yl)guanidine (IMZ). A LC-MS/MS multiple reaction monitoring method was developed to detect and quantify the presence of IMZ in metformin-treated T2DM patients. Urine from >90 MF-treated T2DM patients was analyzed, with increased levels of MF directly correlating with elevations in IMZ. Urinary MF was detected in the range of 0.17 μM - 23.0 mM, and simultaneous measurement of IMZ concentrations were in the range of 18.8 nM to 4.3 μM. Since plasma concentrations of MG range from 40 nM to 4.5 μM the level of IMZ production may be of therapeutic significance. Thus, in addition to lowering hepatic gluconeogenesis, metformin also scavenges the highly reactive MG in vivo, thereby reducing potentially detrimental MG protein adducts, with subsequent reductions in diabetic complications."
Ozonation of Cylindrospermopsin (Cyanotoxin): Degradation Mechanisms and Cytotoxicity Assessments,Jan 2016,"Cylindrospermopsin (CYN) is a potent toxic alkaloid produced by a number of cyanobacteria frequently found in lakes and reservoirs used as drinking water sources. We report for the first time the detailed pathways for the degradation of CYN by treatment with ozone. This was accomplished using UHPLC-quadrupole time-of-flight mass spectrometry (LC-QTOF), which revealed that CYN is readily degraded by ozone with at least 36 transformation products. The structural similarities from the major products indicated that the carbon-carbon double bond in the uracil ring of CYN was most susceptible to attack by ozone. Furthermore, the nitrogen functionality associated with the tricyclic guanidine moiety is also involved via a degradation pathway which has not been previously observed. To assess the potential toxicity of the ozonation products of CYN, the cytotoxicity of CYN and the mixture of its ozonation products were measured using a human hepatoma cell line (HepG2). The IC50 for CYN at 24 and 48 hr incubations was approximately 64.1 and 12.5 μM, respectively; however, the ozonation products of CYN did not exhibit measurable cytotoxicity to human cells. The results indicate ozone is an effective and practical method for CYN attenuation in water treatment without formation of overtly toxic transformation products."
Emerging Investigators Series: Prediction of Trace Organic Contaminant Abatement with UV/H 2 O 2 : Development and Validation of Semi-Empirical Models for Municipal Wastewater Effluents,Jan 2016,"Recent evaluations of potable reuse treatment trains suggest that the use of UV and UV/H2O2 may become increasingly common, particularly in systems employing ozone and/or biofiltration. This study provides a summary of photolysis rate constants and OH rate constants and demonstrates the applicability of semiempirical relationships predicting OH exposure and trace organic contaminant (TOrC) abatement with UV/ H2O2 in matrices with low UV transmittance (e.g., <80%). The data are based on bench-scale experiments with 17 target compounds in 10 laboratory-filtered secondary wastewater effluents. As an alternative to OH exposure measurements with probe compounds, three different approaches for considering the impacts of matrix-specific OH scavenging on TOrC abatement are proposed: (1) estimation of ROH,UV (i.e., OH exposure per UV dose); (2) estimation of kUV/DOC, the pseudo first order rate constant based on the UV/DOC (dissolved organic carbon) ratio; and (3) assessment of TOrC abatement based on differential UV254 absorbance or fluorescence. The level of laboratory investment varies with each approach, but there is a tradeoff in the accuracy of the predictions and whether they typically overestimate or underestimate actual TOrC abatement."
Water pollution by POPs in China EP 2012,Dec 2015,no abstract provided
Wastewater Compounds in Urban Shallow Groundwater Wells Correspond to Exfiltration Probabilities of Nearby Sewers,Nov 2015,"Wastewater compounds are frequently detected in urban shallow groundwater. Sources include sewage or reclaimed wastewater, but origins are often unknown. In a prior study, wastewater compounds were quantified in waters sampled from shallow groundwater wells in a small coastal California city. Here, we resampled those wells and expanded sample analyses to include sewage-or reclaimed water-specific indicators, i.e. pharmaceutical and personal care product chemicals or disinfection byproducts. Also, we developed a geographic information system (GIS)-based model of sanitary sewer exfiltration prob-abilitydcombining a published pipe failure model accounting for sewer pipe size, age, materials of construction, with interpolated depths to groundwaterdto determine if sewer system attributes relate to wastewater compounds in urban shallow groundwater. Across the wells, groundwater samples contained varying wastewater compounds, including acesulfame, sucralose, bisphenol A, 4-tert-octylphenol, estrone and perfluorobutanesulfonic acid (PFBS). Fecal indicator bacterial concentrations and toxicological bioactivities were less than known benchmarks. However, the reclaimed water in this study was positive for all bioactivity tested. Excluding one well intruded by seawater, the similarity of groundwater to sewage, based on multiple indicators, increased with increasing sanitary sewer exfiltration probability (modeled from infrastructure within ca. 300 m of each well). In the absence of direct exfiltration or defect measurements, sewer exfiltration probabilities modeled from the collection system's physical data can indicate potential locations where urban shallow groundwater is contaminated by sewage."
Transformation of Polyfluorinated compounds in natural waters by advanced oxidation processes,Nov 2015,no abstract provided
One year at Chemosphere: Reflections on the peer review process,Oct 2015,no abstract provided
Glucocorticoid activity detected by in vivo zebrafish assay and in vitro glucocorticoid receptor bioassay at environmental relevant concentrations,Oct 2015,no abstract provided
"A tiered, integrated biological and chemical monitoring framework for contaminants of emerging concern (CECs) in aquatic ecosystems",Oct 2015,"The chemical-specific risk-based paradigm that informs monitoring and assessment of environmental contaminants does not apply well to the many thousands of new chemicals that are being introduced into ambient receiving waters. We propose a tiered framework that incorporates bioanalytical screening tools and diagnostic non-targeted chemical analysis to more effectively monitor for contaminants of emerging concern (CECs). The framework is based on a comprehensive battery of in vitro bioassays to first screen for a broad spectrum of CECs, and non-targeted analytical methods to identify bioactive contaminants missed by the currently favored targeted analyses. Water quality managers in California have embraced this strategy with plans to further develop and test this framework in regional and statewide pilot studies on waterbodies that receive discharge from municipal wastewater treatment plants and stormwater runoff. In addition to directly informing decisions, the data obtained using this framework can be used to construct and validate models that better predict CEC occurrence and toxicity. The adaptive interplay among screening results, diagnostic assessment and predictive modeling will allow managers to make decisions based on the most current and relevant information, instead of extrapolating from parameters with questionable linkage to CEC impacts. This article is protected by copyright. All rights reserved."
Nano-Structured Magnesium Oxide Coated Iron Ore: Its Application to the Remediation of Wastewater Containing Lead,Sep 2015,"Magnetically separable nano-structured magnesium oxide coated iron ore (IOMgO) was prepared using environmentally benign chemicals, such as iron ore (IO), magnesium(II) nitrate hexahydrate [Mg(NO3)2 · 6H2O] and urea; via an easy and fast preparation method. The IOMgO was characterized using X-ray diffraction (XRD), field-emission scanning electron microscopy (FE-SEM), energydispersive X-ray spectroscopy (EDS) and alternating gradient magnetometer (AGM) analyses. The isotherm and kinetic studies indicated that IOMgO has a comparably higher Langmuir constant (K L , 1.69 L mg−1) and maximum sorption capacity (33.9 mg g−1) for lead (Pb) than other inorganic media. Based on MgO amount, the removal capacity of Pb by IOMgO was 2,724 mg Pb (g MgO)−1, which was higher than that (1,980 mg g−1) for flowerlike magnesium oxide nanostructures reported by Cao et al. The kinetics, FE-SEM, elemental mapping and XRD results revealed that the substitution followed by precipitation was identified as the mechanism of Pb removal and plumbophyllite (Pb2Si4O10 ·H2O) was the precipitated phase of Pb. A leaching test revealed that IOMgO had negligible concentrations of leached Fe at pH 4–9. Since the base material, IO, is cheap and easily available, IOMgO could be produced in massive amounts and used for remediation of wastewater containing heavy metals, applying simple and fast magnetic separation."
On-line sensor monitoring for chemical contaminant attenuation during UV/H2O2 advanced oxidation process,Sep 2015,"A combination of surrogate parameters and indicator compounds were measured to predict the removal efficiency of trace organic compounds (TOrCs) using low pressure (LP)-UV/H2O2 advanced oxidation process (AOP), engaged with online sensor-based monitoring system. Thirty-nine TOrCs were evaluated in two distinct secondary wastewater effluents in terms of estimated photochemical reactivity, as a function of the rate constants of UV direct photolysis (kUV) and hydroxyl radical (OH) oxidation (kOH). The selected eighteen TOrCs were classified into three groups that served as indicator compounds: Group 1 for photo-susceptible TOrCs but with minor degradation by OH oxidation (diclofenac, fluoxetine, iohexol, iopamidol, iopromide, simazine and sulfamethoxazole); Group 2 for TOrCs susceptible to both direct photolysis and OH oxidation (benzotriazole, diphenhydramine, ibuprofen, naproxen and sucralose); and Group 3 for photo-resistant TOrCs showing dominant degradation by OH oxidation (atenolol, carbamazepine, DEET, gemfibrozil, primidone and trimethoprim). The results indicate that TOC (optical-based measurement), UVA254 or UVT254 (UV absorbance or transmittance at 254 nm), and total fluorescence can all be used as suitable on-line organic surrogate parameters to predict the attenuation of TOrCs. Furthermore, the automated real-time monitoring via on-line surrogate sensors and equipped with the developed degradation profiles between sensor response and a group of TOrCs removal can provide a diagnostic tool for process control during advanced treatment of reclaimed waters.
Copyright © 2015 Elsevier Ltd. All rights reserved."
"Wastewater Treatment and Reuse: Past, Present, and Future",Sep 2015,"This paper provides an overview of the Special Issue on Wastewater Treatment and Reuse: Past, Present, and Future. The papers selected for publication include advanced wastewater treatment and monitoring technologies, such as membrane bioreactors, electrochemical systems; denitrifying biofilters, and disinfection technologies. The Issue also contains articles related to best management practices of biosolids, the influence of organic matter on pathogen inactivation and nutrient removal. Collectively, the Special Issue presents an evolution of technologies, from conventional through advanced, for reliable and sustainable wastewater treatment and reuse."
In vitro bioassays to evaluate complex chemical mixtures in recycled water,Sep 2015,"With burgeoning population and diminishing availability of freshwater resources, the world continues to expand the use of alternative water resources for drinking, and the quality of these sources has been a great concern for the public as well as public health professionals. In vitro bioassays are increasingly being used to enable rapid, relatively inexpensive toxicity screening that can be used in conjunction with analytical chemistry data to evaluate water quality and the effectiveness of water treatment. In this study, a comprehensive bioassay battery consisting of 36 bioassays covering 18 biological endpoints was applied to screen the bioactivity of waters of varying qualities with parallel treatments. Samples include wastewater effluent, ultraviolet light (UV) and/or ozone advanced oxidation processed (AOP) recycled water, and infiltrated recycled groundwater. Based on assay sensitivity and detection frequency in the samples, several endpoints were highlighted in the battery, including assays for genotoxicity, mutagenicity, estrogenic activity, glucocorticoid activity, arylhydrocarbon receptor activity, oxidative stress response, and cytotoxicity. Attenuation of bioactivity was found to be dependent on the treatment process and bioassay endpoint. For instance, ozone technology significantly removed oxidative stress activity, while UV based technologies were most efficient for the attenuation of glucocorticoid activity. Chlorination partially attenuated genotoxicity and greatly decreased herbicidal activity, while groundwater infiltration efficiently attenuated most of the evaluated bioactivity with the exception of genotoxicity. In some cases, bioactivity (e.g., mutagenicity, genotoxicity, and arylhydrocarbon receptor) increased following water treatment, indicating that transformation products of water treatment may be a concern. Furthermore, several types of bioassays with the same endpoint were compared in this study, which could help guide the selection of optimized methods in future studies. Overall, this research indicates that a battery of bioassays can be used to support decision-making on the application of advanced water treatment processes for removal of bioactivity.
Copyright © 2015 Elsevier Ltd. All rights reserved."
Point-of-Use Devices for Attenuation of Trace Organic Compounds in Water (In Press),Sep 2015,"Trace organic compounds (TOrCs) continue to be detected in drinking water, and their recalcitrance makes them difficult to attenuate without installing expensive advanced treatment processes. Because human consumption is a small portion of net household water use, point-of-use (POU) devices may provide additional security against drinking water contaminants. This research evaluated three pitcher and two refrigerator POU devices using two waters. Refrigerator POU devices removed more TOrCs over the manufacturer's expected lifetime in terms of total mass than the pitcher POU devices. Average removal through all filters for nonionic, hydrophobic compounds was higher than for hydrophilic compounds in both waters. Removal of ionic compounds was enhanced by cation/anion exchange resins present in pitcher POU devices. Results indicated that POU devices are capable of removing significant amounts of organic contaminants in water. However, removal of a specific compound depends on its molecular properties, treatment technology implemented, and water quality and lifetime of the cartridge. 2015"
Evaluation of the transport Parameters and physiochemical properties of forward osmosis Membranes after treatment of produced water,Sep 2015,"The application of semipermeable membranes for dewatering of complex oil and gas wastewaters continues to be a topic of increasing interest. Several studies have explored the fouling propensity and contaminant rejection of osmotically driven membranes during forward osmosis (FO) treatment of produced waters; however, none have investigated changes in membrane transport and physiochemical properties after exposure to these feed streams. In this study we discuss the impacts of produced water exposure on the transport and active layer surface properties of cellulose triacetate (CTA) and polyamide thin-film composite (TFC) FO membranes. While produced water exposure yields some, albeit minor changes to the membrane performance and surface characteristics of the CTA and the traditional TFC membranes, close to 50% reduction in reverse salt flux and contaminant transport was observed for a surface-modified TFC FO membrane only minimal changes in water permeability were recorded. Results of this study demonstrate the chemical and physical robustness of FO membranes for treatment of oil and gas wastewaters, and they highlight a knowledge gap that exists in membrane polymer selection and contaminant interactions with the membrane polymer matrix that should be further addressed in future membrane fouling studies."
Magnetised nanocomposite mesoporous silica and its application for effective removal of methylene blue from aqueous solution,Aug 2015,"Abstract Via a new synthetic route, magnetized nanocomposite mesoporous material (MNCM) was prepared using silica (SiO2) and nano-magnetite (Fe3O-4). The formation mechanism of MNCM was determined using various spectroscopic analyses. Among the synthesized materials, MNCM–1, prepared with a molecular weight ratio of Fe3O-4 to SiO2 of 0.14:1, had a homogeneous mesopore structure with a mean pore size of 4.68 nm, specific surface area of 576 m2 g-1, and a pore volume of 0.65 cm3 g-1. MNCM-1 had magnetic properties (2.9 emu) and structural strength, as well as higher and faster adsorptive MB removal than other mesoporous materials. The removal of MB by MNCM-1 was found to be a physisorption process with an electrostatic interaction between negatively charged silanol (Si–O-) and positively charged MB, and was thermodynamically favorable at higher temperatures. The economic assessment revealed that treatment costs for MB-containing water using MNCM-1 were 16–80 times lower than those with other mesoporous materials, due to the use of the cheap Si precursor and the higher sorption capacity. Furthermore, MNCM-1 can be reused and regenerated without any defects after easy separation using a magnet. Because MNCM-1 can be produced economically on a large scale, it may have significant effects for adsorption-based treatment systems with regard to the removal of MB from waste water."
Modeling approaches to predict removal of trace organic compounds by ozone oxidation in potable reuse applications,Jul 2015,"Realized and potential threats of water scarcity due in part to global climate change have increased the interest in potable reuse of municipal wastewater. Recalcitrant trace organic compounds (TOrCs), including pharmaceuticals and endocrine disrupting compounds in wastewater are often not efficiently removed by conventional wastewater treatment processes. Ozone application has been demonstrated to be a highly efficient oxidation process to attenuate TOrCs. However, operation of ozone oxidation can be challenging in wastewater due to variations in water quality that can impact critical control points through fluctuations in ozone demand/decay. Therefore, this study implemented three explanatory modeling techniques including multiple linear regression (MLR), artificial neutral network (ANN), and PC (principal component)-ANN to predict TOrCs removal by ozone oxidation in a secondary wastewater effluent. All the developed models displayed good agreements between the predicted TOrCs removal and the observed TOrCs removal with the explanatory variables (input variables) of ozone dose, total organic carbon (TOC) concentration, and rate constants of ozone and ˙OH. PC-ANN displayed the highest predictive power in the external validation step (R2 = 0.934) successively followed by ANN (R2 = 0.914) and MLR (R2 = 0.758). Based on the MLR model equation and the result of sensitivity analysis of the ANN model, TOC was found to have negligible effects on the TOrCs removal in a given water quality. Despite the predictive power of the ANN model, possible overfitting remains to be solved since the cross validation coefficient (q2) value calculated by the leave-one-out cross validation was not sufficient to ensure model predictive power. In contrast, the PC-ANN model was found to be robust across the scenarios applied. This study provides a guideline for software sensors to control ozone treatment processes in regards to TOrC oxidation and likely can be adapted to monitor disinfection as well."
Bioanalytical tools: Half a century of application for potable reuse,Jul 2015,"In vitro bioassays, more recently referred to as ""bioanalytical tools"" in an attempt to emphasize their analytical purpose rather than the uncertain relation to adverse health outcomes, are often thought of as novel tools by water stakeholders. They have, however, been used for over half a century in assessment of recycled water quality. Today, millions of chemicals and formulations are available for commercial use and most have a high propensity to enter sewage collection systems. However, traditional health risk assessment methods involving animal testing at high doses and extrapolation to environmental relevant levels are vastly overwhelmed in capacity by the innumerable chemicals and transformation products potentially present in waters. Beyond the sheer magnitude of chemicals, the interactions of these chemicals as complex mixtures is largely unaddressed in traditional regulatory schemes. Morevover, non-human animal models are often misleading due to differences in metabolism and associated pharmacokinetics. Thus, water professionals continue to struggle with ever increasing numbers of chemicals detected at trace levels in water and the potential interactions of these chemicals during mixture exposures. Bioanalytical tools offer a path forward towards more comprehensive chemical evaluations of water, which can provide greater public confidence in the ability of potable reuse schemes to produce clean and safe drinking water."
Synthesis Mechanism and Thermal Optimization of an Economical Mesoporous Material Using Silica: Implications for the Effective Removal or Delivery of Ibuprofen,Jul 2015,"Mesoporous silica materials (MSMs) were synthesized economically using silica (SiO2) as a precursor via a modified alkaline fusion method. The MSM prepared at 500°C (MSM-500) had the highest surface area, pore size, and volume, and the results of isotherms and the kinetics of ibuprofen (IBP) removal indicated that MSM-500 had the highest sorption capacity and fastest removal speed vs. SBA-15 and zeolite. Compared with commercial granular activated carbon (GAC), MSM-500 had a ~100 times higher sorption rate at neutral pH. IBP uptake by MSM-500 was thermodynamically favorable at room temperature, which was interpreted as indicating relatively weak bonding because the entropy (∆adsS, -0.07 J mol-1 K-1) was much smaller. Five times recycling tests revealed that MSM-500 had 83-87% recovery efficiencies and slower uptake speeds due to slight deformation of the outer pore structure. In the IBP delivery test, MSM-500 drug loading was 41%, higher than the reported value of SBA-15 (31%). The in vitro release of IBP was faster, almost 100%, reaching equilibrium within a few hours, indicating its effective loading and unloading characteristics. A cost analysis study revealed that the MSM was ~10-70 times cheaper than any other mesoporous silica material for the removal or delivery of IBP."
Interlaboratory comparison of in vitro bioassays for screening of endocrine active chemicals in recycled water,Jul 2015,"In vitro bioassays have shown promise as water quality monitoring tools. In this study, four commercially available in vitro bioassays (GeneBLAzer(®) androgen receptor (AR), estrogen receptor-alpha (ER), glucocorticoid receptor (GR) and progesterone receptor (PR) assays) were adapted to screen for endocrine active chemicals in samples from two recycled water plants. The standardized protocols were used in an interlaboratory comparison exercise to evaluate the reproducibility of in vitro bioassay results. Key performance criteria were successfully achieved, including low background response, standardized calibration parameters and high intra-laboratory precision. Only two datasets were excluded due to poor calibration performance. Good interlaboratory reproducibility was observed for GR bioassay, with 16-26% variability among the laboratories. ER and PR bioactivity was measured near the bioassay limit of detection and showed more variability (21-54%), although interlaboratory agreement remained comparable to that of conventional analytical methods. AR bioassay showed no activity for any of the samples analyzed. Our results indicate that ER, GR and PR, were capable of screening for different water quality, i.e., the highest bioactivity was observed in the plant influent, which also contained the highest concentrations of endocrine active chemicals measured by LC-MS/MS. After advanced treatment (e.g., reverse osmosis), bioactivity and target chemical concentrations were both below limits of detection. Comparison of bioassay and chemical equivalent concentrations revealed that targeted chemicals accounted for ≤5% of bioassay activity, suggesting that detection limits by LC-MS/MS for some chemicals were insufficient and/or other bioactive compounds were present in these samples. Our study demonstrated that in vitro bioassays responses were reproducible, and can provide information to complement conventional analytical methods for a more comprehensive water quality assessment.
Copyright © 2015 Elsevier Ltd. All rights reserved."
Water Reuse in EU-States: Necessity for Uniform Criteria to Mitigate Human and Environmental Risks,Jul 2015,"Water quality criteria are an indispensable part of water recycling projects aiming to ensure the protection of public health and the environment. In addition, criteria can affect the development, public acceptance and the economic viability of water recycling projects. Currently no uniform criteria exist, but they diverge, often greatly, between countries/states. Here we briefly present the evolution of recycling criteria worldwide and discuss emerging issues related to ecological and public health risks that have not addressed adequately in existing criteria. We specifically focus on EU countries and present their water recycling status based on the published data and the existing (or non-existing) recycling frameworks. Data gathered from public agencies reveal a high potential for recycling in the EU that could potentially contribute to ensuring that fresh water is available for all sectors and to protect the environment, but it has not expanded at the expected rates. The lack of water recycling criteria was thought as the most important cause for this delay. In the last decade, however, several countries and particularly these located in the Mediterranean basin, established relevant regulations. Similarities and differences as well as potential benefits and drawbacks of these regulations are discussed and interpreted with these of the other world. Moreover major challenges, the future views, and the necessity for establishing common regulations at an EU level are considered."
Escher et al 2014 ES&T benchmarking 20 lab study copy,Jun 2015,no abstract provided
Rapid direct injection LC-MS/MS method for analysis of prioritized indicator compounds in wastewater effluent,May 2015,"Trace organic compounds (TOrCs) have been detected in drinking water sources for several years, raising concerns due to their potential risks to public health. The main contributor of TOrCs to drinking water is through wastewater discharges. However, there are several hundred TOrCs currently known with numerous new organic chemicals being released daily, making it unfeasible to monitor each one in water. This study used a detailed literature review and scoring system to establish a list of twenty priority indicator TOrCs in US wastewaters. Next, a rapid direct injection LC-MS/MS method for analysis of these compounds was developed without the need for an extraction step and only 80 µL sample volume while providing method reporting limits of 3-39 ng/L for all but one TOrC (sucralose: 302 ng/L). The elimination of an extraction step reduced matrix effects considerably making the method suitable for wastewater analysis. Method validation including matrix spike recoveries, linearity of calibration curve and inter- and intra-day variability was successfully performed. Finally, the twenty indicator TOrCs were evaluated in four different wastewater treatment plant (WWTP) effluents through four sample campaigns spread across a year. The occurrence data indicated that all indicator TOrCs were detected in at least three out of the four WWTP effluents. Sucralose, iohexol, TCPP, acesulfame and gemfibrozil were detected in all samples at the four WWTPs indicating they could be used as indicators of wastewater influence in receiving waters. DEET, caffeine, triclosan, iopromide and others are effective indicators at showing seasonal variations, treatment process efficacy, and consumption patterns. Overall, the impact of this study will have develop more effective monitoring programs for TOrCs in water reuse schemes."
Fate of trace organics in a wastewater effluent dependent stream,Mar 2015,no abstract provided
Investigating landfill leachate as a source of trace organic pollutants,Mar 2015,"Landfill leachate samples (n=11) were collected from five USA municipal solid waste (MSW) landfills and analyzed for ten trace organic pollutants that are commonly detected in surface and municipal wastewater effluents (viz., carbamazepine, DEET, fluoxetine, gemfibrozil, PFOA, PFOS, primidone, sucralose, sulfamethoxazole and trimethoprim). Carbamazepine, DEET, PFOA and primidone were detected in all leachate samples analyzed and gemfibrozil was detected in samples from four of the five-landfill sites. The contaminants found in the highest concentrations were DEET (6900-143000ngL(-1)) and sucralose (<10-621000ngL(-1)). Several compounds were not detected (fluoxetine) or detected infrequently (sulfamethoxazole, trimethoprim and PFOS). Using the average mass of DEET in leachate amongst the five landfills and scaling the mass release from the five test landfills to the USA population of landfills, an order of magnitude estimate is that over 10000kg DEETyr(-1) may be released in leachate. Some pharmaceuticals have similar annual mean discharges to one another, with the estimated annual discharge of carbamazepine, gemfibrozil, primidone equating to 53, 151 and 128kgyear(-1). To the authors knowledge, this is the first time that primidone has been included in a landfill leachate study. While the estimates developed in this study are order of magnitude, the values do suggest the need for further research to better quantify the amount of chemicals sent to wastewater treatment facilities with landfill leachate, potential impacts on treatment processes and the significance of landfill leachate as a source of surface water contamination.
Copyright © 2015. Published by Elsevier Ltd."
